D:\chromeDownloads\Sorted\24\24S04E24\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S06E04\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S06E05\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S06E11\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S06E15\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S07E01\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S07E06\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S07E07\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S07E10\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S07E17\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S08E01\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S08E06\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S08E07\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S08E08\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S08E11\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S08E13\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S08E14\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S08E16\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\24S08E24\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\24\en\en.srt,Missing
D:\chromeDownloads\Sorted\24\en\he.srt,Missing
D:\chromeDownloads\Sorted\24\he\en.srt,Missing
D:\chromeDownloads\Sorted\24\he\he.srt,Missing
D:\chromeDownloads\Sorted\30Rock\30RockS01E01\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\30Rock\30RockS01E03\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\30Rock\30RockS01E04\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\30Rock\30RockS01E05\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\30Rock\30RockS01E06\en.srt,Synced and extracted phrases
D:\chromeDownloads\Sorted\30Rock\30RockS01E07\en.srt,Synced and extracted phrases
